method,family,n,p,seed,tol,d,m,cut,approx_ratio,params_opt,rank,refreshes,forward_F,jvp,vjp,wall_s
fixed_rank_oracle,regular,10,2,0,,50,15,9.150545,0.703888,8,8,0,100,0,100,0.4092
rsq,regular,10,2,0,0.1,50,15,11.447936,0.88061,15,15,3,292,146,418,2.1954
rsq,regular,10,2,0,0.01,50,15,11.443132,0.880241,15,15,3,308,154,446,2.3094
rsq_adjoint_free,regular,10,2,0,,50,15,10.611057,0.816235,8,8,3,288,144,0,0.8515
full_maqaoa,regular,10,2,1,,50,15,10.984589,0.915382,50,,0,100,0,100,0.5311
symmetry,regular,10,2,1,,50,15,10.999892,0.916658,18,,0,100,0,100,0.4978
fixed_rank_oracle,regular,10,2,1,,50,15,9.299679,0.774973,8,8,0,100,0,100,0.5311
rsq,regular,10,2,1,0.1,50,15,11.258046,0.93817,15,15,3,300,150,432,2.691
rsq,regular,10,2,1,0.01,50,15,11.215904,0.934659,15,15,3,308,154,446,2.7716
rsq_adjoint_free,regular,10,2,1,,50,15,10.476319,0.873027,8,8,3,288,144,0,0.7636
full_maqaoa,regular,10,2,2,,50,15,11.999288,0.923022,50,,0,100,0,100,0.4393
symmetry,regular,10,2,2,,50,15,11.368175,0.874475,30,,0,100,0,100,0.4711
fixed_rank_oracle,regular,10,2,2,,50,15,9.878998,0.759923,8,8,0,100,0,100,0.4322
rsq,regular,10,2,2,0.1,50,15,11.304289,0.869561,15,15,3,308,154,446,2.3428
rsq,regular,10,2,2,0.01,50,15,11.304289,0.869561,15,15,3,308,154,446,2.2437
rsq_adjoint_free,regular,10,2,2,,50,15,10.80257,0.830967,8,8,3,288,144,0,0.6707
full_maqaoa,er,8,1,0,,19,11,7.999909,0.888879,19,,0,100,0,100,0.1432
symmetry,er,8,1,0,,19,11,7.99994,0.888882,13,,0,100,0,100,0.1468
fixed_rank_oracle,er,8,1,0,,19,11,7.203711,0.800412,8,8,0,100,0,100,0.1542
rsq,er,8,1,0,0.1,19,11,7.994642,0.888294,11,11,3,204,102,348,0.7063
rsq,er,8,1,0,0.01,19,11,7.994642,0.888294,11,11,3,204,102,348,0.709
rsq_adjoint_free,er,8,1,0,,19,11,7.496752,0.832972,8,8,3,288,144,0,0.2656
full_maqaoa,er,8,1,1,,25,17,11.999042,0.99992,25,,0,100,0,100,0.1403
symmetry,er,8,1,1,,25,17,11.077128,0.923094,15,,0,100,0,100,0.1562
fixed_rank_oracle,er,8,1,1,,25,17,9.780539,0.815045,8,8,0,100,0,100,0.1633
rsq,er,8,1,1,0.1,25,17,11.986448,0.998871,17,17,3,280,140,362,0.7869
rsq,er,8,1,1,0.01,25,17,11.9684,0.997367,17,17,3,292,146,376,0.7871
rsq_adjoint_free,er,8,1,1,,25,17,11.309361,0.942447,8,8,3,288,144,0,0.2689
full_maqaoa,er,8,1,2,,21,13,10.4998,0.874983,21,,0,100,0,100,0.1463
symmetry,er,8,1,2,,21,13,10.469476,0.872456,14,,0,100,0,100,0.152
fixed_rank_oracle,er,8,1,2,,21,13,7.78813,0.649011,8,8,0,100,0,100,0.1564
rsq,er,8,1,2,0.1,21,13,10.480062,0.873339,13,13,3,224,112,348,0.7341
rsq,er,8,1,2,0.01,21,13,10.475922,0.872994,13,13,3,236,118,362,0.7587
rsq_adjoint_free,er,8,1,2,,21,13,10.038664,0.836555,8,8,3,288,144,0,0.2702
full_maqaoa,er,8,2,0,,38,11,8.999856,0.999984,38,,0,100,0,100,0.2741
symmetry,er,8,2,0,,38,11,8.999541,0.999949,26,,0,100,0,100,0.2794
fixed_rank_oracle,er,8,2,0,,38,11,7.547023,0.838558,8,8,0,100,0,100,0.2934
rsq,er,8,2,0,0.1,38,11,8.863608,0.984845,11,11,3,228,114,390,1.459
rsq,er,8,2,0,0.01,38,11,8.753057,0.972562,11,11,3,292,146,502,1.8282
rsq_adjoint_free,er,8,2,0,,38,11,7.644249,0.849361,8,8,3,288,144,0,0.5107
full_maqaoa,er,8,2,1,,50,17,11.999928,0.999994,50,,0,100,0,100,0.2759
symmetry,er,8,2,1,,50,17,11.999904,0.999992,30,,0,100,0,100,0.2914
fixed_rank_oracle,er,8,2,1,,50,17,9.617701,0.801475,8,8,0,100,0,100,0.3085
rsq,er,8,2,1,0.1,50,17,11.928449,0.994037,17,17,3,328,164,446,1.7647
rsq,er,8,2,1,0.01,50,17,11.866027,0.988836,17,17,3,364,182,502,1.8926
rsq_adjoint_free,er,8,2,1,,50,17,10.651634,0.887636,8,8,3,288,144,0,0.5104
full_maqaoa,er,8,2,2,,42,13,11.998003,0.999834,42,,0,100,0,100,0.2874
symmetry,er,8,2,2,,42,13,11.999609,0.999967,28,,0,100,0,100,0.2969
fixed_rank_oracle,er,8,2,2,,42,13,9.280114,0.773343,8,8,0,100,0,100,0.3043
rsq,er,8,2,2,0.1,42,13,11.310508,0.942542,13,13,3,256,128,404,1.5466
rsq,er,8,2,2,0.01,42,13,11.623904,0.968659,13,13,3,284,142,446,1.6725
rsq_adjoint_free,er,8,2,2,,42,13,10.534384,0.877865,8,8,3,288,144,0,0.5083
full_maqaoa,er,10,1,0,,29,19,12.999721,0.928552,29,,0,100,0,100,0.196
symmetry,er,10,1,0,,29,19,12.999721,0.928552,29,,0,100,0,100,0.1967
fixed_rank_oracle,er,10,1,0,,29,19,11.752048,0.839432,8,8,0,100,0,100,0.2169
rsq,er,10,1,0,0.1,29,19,12.987199,0.927657,19,19,3,304,152,376,1.051
rsq,er,10,1,0,0.01,29,19,12.978132,0.927009,19,19,3,340,170,418,1.1449
rsq_adjoint_free,er,10,1,0,,29,19,12.58845,0.899175,8,8,3,288,144,0,0.3591
full_maqaoa,er,10,1,1,,38,28,18.496715,0.880796,38,,0,100,0,100,0.1961
symmetry,er,10,1,1,,38,28,18.496715,0.880796,38,,0,100,0,100,0.1995
fixed_rank_oracle,er,10,1,1,,38,28,15.429303,0.734729,8,8,0,100,0,100,0.2245
